loss,mae,val_loss,val_mae,learning_rate
0.005345533136278391,0.05297200381755829,0.002189655788242817,0.03283989056944847,0.0010000000474974513
0.002784404205158353,0.038637254387140274,0.003196312813088298,0.03957976773381233,0.0010000000474974513
0.00246505462564528,0.03603120893239975,0.001298447954468429,0.025217704474925995,0.0010000000474974513
0.002277624560520053,0.03439244255423546,0.0011005603009834886,0.022762589156627655,0.0010000000474974513
0.0021315193735063076,0.0331750363111496,0.0010951509466394782,0.022479180246591568,0.0010000000474974513
0.0019792162347584963,0.03185883164405823,0.0012361425906419754,0.024931438267230988,0.0010000000474974513
0.0018679667264223099,0.03084719367325306,0.002632526447996497,0.03662113845348358,0.0010000000474974513
0.001838738564401865,0.030570384114980698,0.001254037139005959,0.0272319745272398,0.0010000000474974513
0.0017614688258618116,0.029811667278409004,0.0013464716030284762,0.024610299617052078,0.0010000000474974513
0.0015423231525346637,0.027827605605125427,0.0008927690796554089,0.021393150091171265,0.0005000000237487257
0.0014967225724831223,0.027372144162654877,0.0010792769026011229,0.023099416866898537,0.0005000000237487257
0.0014818691415712237,0.027247998863458633,0.0008643962210044265,0.021168962121009827,0.0005000000237487257
0.0014422895619645715,0.026865581050515175,0.0009666671394370496,0.02269013039767742,0.0005000000237487257
0.0014331305865198374,0.026812411844730377,0.0009000466670840979,0.021464956924319267,0.0005000000237487257
0.0013895659940317273,0.02639595791697502,0.0009327696752734482,0.0230281800031662,0.0005000000237487257
0.0013241866836324334,0.02565661258995533,0.0008120856364257634,0.020797014236450195,0.0002500000118743628
0.0012871766230091453,0.025311816483736038,0.000881195068359375,0.022035663947463036,0.0002500000118743628
0.0012628758559003472,0.025052445009350777,0.0008518444956280291,0.020959481596946716,0.0002500000118743628
0.0012635176535695791,0.025045527145266533,0.0008009643061086535,0.020510904490947723,0.0002500000118743628
0.001240092795342207,0.024804655462503433,0.0008751734858378768,0.021306581795215607,0.0002500000118743628
0.0012043199967592955,0.024423187598586082,0.0008335780003108084,0.02094443514943123,0.0001250000059371814
0.0011898382799699903,0.024262594059109688,0.000843183952383697,0.020562030375003815,0.0001250000059371814
0.0011822109809145331,0.024206796661019325,0.0008796474430710077,0.02185702696442604,0.0001250000059371814
0.0011763663496822119,0.02413673885166645,0.0007877583848312497,0.020069990307092667,0.0001250000059371814
0.0011711762053892016,0.02405489794909954,0.0008007471333257854,0.020256100222468376,0.0001250000059371814
0.00117171136662364,0.024057330563664436,0.0007851068512536585,0.020001623779535294,0.0001250000059371814
0.0011616046540439129,0.023949554190039635,0.0007904325611889362,0.020111363381147385,0.0001250000059371814
0.0011528588365763426,0.023878006264567375,0.0008972352370619774,0.021683398634195328,0.0001250000059371814
0.0011471206089481711,0.023827193304896355,0.0008644042536616325,0.021685723215341568,0.0001250000059371814
0.0011280847247689962,0.023569611832499504,0.0007878643809817731,0.020343657582998276,6.25000029685907e-05
0.0011231991229578853,0.02353311888873577,0.0007986743585206568,0.020619219169020653,6.25000029685907e-05
0.0011234254343435168,0.023531723767518997,0.0009199392516165972,0.02269265241920948,6.25000029685907e-05
0.0011144279269501567,0.02347535267472267,0.000790346588473767,0.020256729796528816,6.25000029685907e-05
0.001114638987928629,0.023457536473870277,0.0008490219479426742,0.0208026934415102,6.25000029685907e-05
0.0011025669518858194,0.02333357371389866,0.0008061635890044272,0.020675506442785263,3.125000148429535e-05
0.0011089404579252005,0.02338382788002491,0.0007817885489203036,0.02025018073618412,3.125000148429535e-05
0.001097165746614337,0.02326982095837593,0.0008005165145732462,0.02047385461628437,3.125000148429535e-05
0.001102245762012899,0.0233218465000391,0.0007967098499648273,0.020449142903089523,3.125000148429535e-05
0.0010990918381139636,0.02329671010375023,0.0007978373905643821,0.020313290879130363,3.125000148429535e-05
0.001090334844775498,0.02319139614701271,0.0008064343128353357,0.020559091120958328,1.5625000742147677e-05
0.001090927398763597,0.02321869134902954,0.0007929909625090659,0.020395247265696526,1.5625000742147677e-05
0.0010914804879575968,0.023210663348436356,0.0007917517796158791,0.0202545914798975,1.5625000742147677e-05
0.0010902548674494028,0.02318142168223858,0.0008100264240056276,0.020540958270430565,1.5625000742147677e-05
0.0010882832575589418,0.023173736408352852,0.0007986888522282243,0.020513668656349182,1.5625000742147677e-05
0.0010893099242821336,0.023155244067311287,0.0007976237684488297,0.020370706915855408,7.812500371073838e-06
0.0010855549480766058,0.0231487937271595,0.0007971568848006427,0.02039925940334797,7.812500371073838e-06
